Date,process-name,Name,time,ip,city,loc
02:52:06,dashboard.html - team-eureka - Visual Studio Code,"code, Code",8404158,219.90.100.25,Mumbai,"19.0728,72.8826"
02:53:06,app.py - team-eureka - Visual Studio Code,"code, Code",8468552,219.90.100.25,Mumbai,"19.0728,72.8826"
02:54:06,Usage Report - Brave,"brave-browser, Brave-browser",8525274,219.90.100.25,Mumbai,"19.0728,72.8826"
02:55:06,Usage Report - Brave,"brave-browser, Brave-browser",8587588,219.90.100.25,Mumbai,"19.0728,72.8826"
02:56:06,● dashboard.html - team-eureka - Visual Studio Code,"code, Code",8647684,219.90.100.25,Mumbai,"19.0728,72.8826"
02:57:06,dashboard.html - team-eureka - Visual Studio Code,"code, Code",8671829,219.90.100.25,Mumbai,"19.0728,72.8826"
02:58:06,● dashboard.html - team-eureka - Visual Studio Code,"code, Code",8765523,219.90.100.25,Mumbai,"19.0728,72.8826"
02:59:06,dashboard.html - team-eureka - Visual Studio Code,"code, Code",8827830,219.90.100.25,Mumbai,"19.0728,72.8826"
03:00:07,dashboard.html - team-eureka - Visual Studio Code,"code, Code",8862071,219.90.100.25,Mumbai,"19.0728,72.8826"
03:01:06,● dashboard.html - team-eureka - Visual Studio Code,"code, Code",8947536,219.90.100.25,Mumbai,"19.0728,72.8826"
03:02:07,● dashboard.html - team-eureka - Visual Studio Code,"code, Code",9007200,219.90.100.25,Mumbai,"19.0728,72.8826"
03:03:06,● dashboard.html - team-eureka - Visual Studio Code,"code, Code",9051620,219.90.100.25,Mumbai,"19.0728,72.8826"
03:04:06,Text Import - [watch-02-13-2021.csv],"soffice, Soffice",not found.,219.90.100.25,Mumbai,"19.0728,72.8826"
03:05:06,● dashboard.html - team-eureka - Visual Studio Code,"code, Code",9184198,219.90.100.25,Mumbai,"19.0728,72.8826"
03:06:06,Usage Report - Brave,"brave-browser, Brave-browser",9246867,219.90.100.25,Mumbai,"19.0728,72.8826"
03:07:06,Usage Report - Brave,"brave-browser, Brave-browser",9254813,219.90.100.25,Mumbai,"19.0728,72.8826"
03:08:06,dashboard.html - team-eureka - Visual Studio Code,"code, Code",9365271,219.90.100.25,Mumbai,"19.0728,72.8826"
03:09:06,string to json object in js - Google Search - Brave,"brave-browser, Brave-browser",9428334,219.90.100.25,Mumbai,"19.0728,72.8826"
03:10:06,dashboard.html - team-eureka - Visual Studio Code,"code, Code",9479940,219.90.100.25,Mumbai,"19.0728,72.8826"
03:11:06,Usage Report - Brave,"brave-browser, Brave-browser",9547016,219.90.100.25,Mumbai,"19.0728,72.8826"
03:12:06,Usage Report - Brave,"brave-browser, Brave-browser",9593111,219.90.100.25,Mumbai,"19.0728,72.8826"
03:13:06,dashboard.html - team-eureka - Visual Studio Code,"code, Code",9665655,219.90.100.25,Mumbai,"19.0728,72.8826"
03:14:06,dashboard.html - team-eureka - Visual Studio Code,"code, Code",9707774,219.90.100.25,Mumbai,"19.0728,72.8826"
03:15:06,Airmeet - Brave,"brave-browser, Brave-browser",9683372,219.90.100.25,Mumbai,"19.0728,72.8826"
03:16:06,dashboard.html - team-eureka - Visual Studio Code,"code, Code",9844251,219.90.100.25,Mumbai,"19.0728,72.8826"
03:17:06,script.py - team-eureka - Visual Studio Code,"code, Code",9904641,219.90.100.25,Mumbai,"19.0728,72.8826"
03:18:06,#general - Discord,"discord, discord",9960498,219.90.100.25,Mumbai,"19.0728,72.8826"
03:19:06,script.py - team-eureka - Visual Studio Code,"code, Code",10009584,219.90.100.25,Mumbai,"19.0728,72.8826"
03:21:06,● script.py - team-eureka - Visual Studio Code,"code, Code",10148061,219.90.100.25,Mumbai,"19.0728,72.8826"
03:32:26,nishit@nishit: ~/Documents/dev/team-eureka/linux,"gnome-terminal-server, Gnome-terminal",not found.,219.90.100.25,Mumbai,"19.0728,72.8826",20569
03:33:06,dashboard.html - team-eureka - Visual Studio Code,"code, Code",10860814,219.90.100.25,Mumbai,"19.0728,72.8826",3852
03:34:06,● dashboard.html - team-eureka - Visual Studio Code,"code, Code",10927529,219.90.100.25,Mumbai,"19.0728,72.8826",3852
03:35:06,Usage Report - Brave,"brave-browser, Brave-browser",10987444,219.90.100.25,Mumbai,"19.0728,72.8826",4478
03:36:07,script.py - team-eureka - Visual Studio Code,"code, Code",11035188,219.90.100.25,Mumbai,"19.0728,72.8826",3852
03:37:06,db,"org.gnome.Nautilus, Org.gnome.Nautilus",not found.,219.90.100.25,Mumbai,"19.0728,72.8826",20312
03:37:57,DB Browser for SQLite - /home/nishit/Documents/dev/team-eureka/flask/db/database.db,"sqlitebrowser, DB Browser for SQLite",not found.,219.90.100.25,Mumbai,"19.0728,72.8826",21078
03:38:06,DB Browser for SQLite - /home/nishit/Documents/dev/team-eureka/flask/db/database.db,"sqlitebrowser, DB Browser for SQLite",not found.,219.90.100.25,Mumbai,"19.0728,72.8826",21078
03:39:06,nishit@nishit: ~/Documents/dev/team-eureka/linux,"gnome-terminal-server, Gnome-terminal",not found.,219.90.100.25,Mumbai,"19.0728,72.8826",20569
03:40:06,#general - Discord,"discord, discord",11249233,219.90.100.25,Mumbai,"19.0728,72.8826",5331
03:41:06,#spit-hack-gitlab - Discord,"discord, discord",11330102,219.90.100.25,Mumbai,"19.0728,72.8826",5331
03:42:06,Airmeet - Brave,"brave-browser, Brave-browser",11377591,219.90.100.25,Mumbai,"19.0728,72.8826",4478
03:43:06,#spit-hack-gitlab - Discord,"discord, discord",11369767,219.90.100.25,Mumbai,"19.0728,72.8826",5331
03:46:06,dashboard.html - team-eureka - Visual Studio Code,"code, Code",11647324,219.90.100.25,Mumbai,"19.0728,72.8826",3852
03:46:56,nishit@nishit: ~/Documents/dev/team-eureka/linux,"gnome-terminal-server, Gnome-terminal",not found.,219.90.100.25,Mumbai,"19.0728,72.8826",20569
03:47:06,app.py - team-eureka - Visual Studio Code,"code, Code",11707111,219.90.100.25,Mumbai,"19.0728,72.8826",3852
03:48:06,app.py - team-eureka - Visual Studio Code,"code, Code",11749867,219.90.100.25,Mumbai,"19.0728,72.8826",3852
03:49:00,nishit@nishit: ~/Documents/dev/team-eureka/linux,"gnome-terminal-server, Gnome-terminal",not found.,219.90.100.25,Mumbai,"19.0728,72.8826",20569
