Date,process-name,Name,time,ip,city,loc
2021-02-13 23:31:06.131255,script.py - team-eureka - Visual Studio Code,"code, Code",47898412,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-13 23:40:07.073676,Activity-Outline,"org.gnome.Nautilus, Org.gnome.Nautilus",not found.,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-13 23:40:07.073677,Activity-Outline,"org.gnome.Nautilus, Org.gnome.Nautilus",not found.,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-13 23:41:06.281368,Usage Report - Brave,"brave-browser, Brave-browser",116819,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-13 23:41:06.289960,Usage Report - Brave,"brave-browser, Brave-browser",116819,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-13 23:42:06.799994,nishit@nishit: ~/Documents/dev,"gnome-terminal-server, Gnome-terminal",not found.,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-13 23:43:06.307259,demo-02-13-2021.csv - LibreOffice Calc,"libreoffice, libreoffice-calc",not found.,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-13 23:44:06.861713,demo-02-13-2021.csv - LibreOffice Calc,"libreoffice, libreoffice-calc",not found.,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-13 23:45:06.640927,demo-02-13-2021.csv - team-eureka - Visual Studio Code,"code, Code",346969,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-13 23:46:07.026877,Settings,"gnome-control-center, Gnome-control-center",not found.,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-13 23:47:06.448797,#spit-hack-gitlab - Discord,"discord, discord",477283,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-13 23:48:06.824575,script.py - team-eureka - Visual Studio Code,"code, Code",533712,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-13 23:49:06.255023,demo-02-13-2021.csv - team-eureka - Visual Studio Code,"code, Code",579916,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-13 23:50:06.638464,#general - Discord,"discord, discord",657115,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-13 23:51:06.825274,Document - Brave,"brave-browser, Brave-browser",716507,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-13 23:52:06.213691,demo-02-13-2021.csv - team-eureka - Visual Studio Code,"code, Code",677307,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-13 23:53:06.592641,app.py - team-eureka - Visual Studio Code,"code, Code",810281,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-13 23:54:06.984346,script.py - team-eureka - Visual Studio Code,"code, Code",894337,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-13 23:55:06.419837,app.py - team-eureka - Visual Studio Code,"code, Code",956553,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-13 23:56:06.808246,404 Not Found - Brave,"brave-browser, Brave-browser",1017726,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-13 23:57:06.185302,app.py - team-eureka - Visual Studio Code,"code, Code",1061729,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-13 23:58:06.572020,● app.py - team-eureka - Visual Studio Code,"code, Code",1126634,219.90.100.25,Mumbai,"19.0728,72.8826"
2021-02-13 23:59:06.948118,New Tab - Brave,"brave-browser, Brave-browser",1069731,219.90.100.25,Mumbai,"19.0728,72.8826"
